,degree,closeness,betweenness,eigenvector,pagerank
jojo8256,9.439305267132339e-05,0.18145071508092833,0.0,5.4350674164631435e-06,4.2511571028915186e-05
sjhutton99,9.439305267132339e-05,0.18145071508092833,0.0,5.4350674164631435e-06,4.2511571028915186e-05
willis-2,0.00037757221068529355,0.2101233686381848,0.0004609746981705736,0.00017692632122215485,0.00013243934252776498
nlillie,0.00018878610534264677,0.20002643354794858,1.7277477262986307e-05,3.865269539121121e-05,7.318872367197603e-05
annette23348076,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
bluesmaster,0.0002831791580139702,0.22549541303931375,0.00040804846473393357,0.00032143838539887894,9.80993611839704e-05
ithorhun,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
norbs64,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
tamrootbeer,0.00018878610534264677,0.23038448155880306,0.00020309526994332443,0.0005063725855924398,6.976623600926195e-05
theziggiestzag,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
frogcorroboree,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
k-h1,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
hurricanegirl,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
proletariatpunk,0.00018878610534264677,0.21483614536015574,4.720098178042103e-05,0.00015293223746279627,7.580944087845238e-05
garwinsean,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
atinatx,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
thegetup814,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
tootie66,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
nobodyspeshl,0.00037757221068529355,0.22652725212222294,0.0008313629554523175,0.00025358119310139827,0.00012504568254054148
burnseternal,0.0004719652633566169,0.2148753625540028,0.0003525905071834855,0.00015410639903246705,0.00019970135030969446
rbensch,0.00018878610534264677,0.22789657101062685,0.0003660035009294137,0.00042527664782670335,7.324171292914596e-05
kristiq,0.0004719652633566169,0.23749635707400185,0.0028230072161343346,0.0009863536267541834,0.00015525477014932467
debra13,0.00018878610534264677,0.22203126964832126,0.00037436725772171394,0.00022075936243413056,7.094134284856776e-05
genwacc,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
earldouglas,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
ozwiltshire,0.00018878610534264677,0.21603213768633128,0.00012603296560750153,0.00018886486380782354,6.736292233154988e-05
bodascious,0.0002831791580139702,0.22997937696732879,0.0006581732980258156,0.0004772562685798792,9.94140731909651e-05
peter-butler,9.439305267132339e-05,0.15322312376158864,0.0,5.639577393285636e-07,4.8337504009421554e-05
anthonylfisher,0.0013215027373985274,0.18094554895128784,0.0030168343534857024,1.7202515409436995e-05,0.0005554168125738323
